"DATE","WEIGHT","TOE","POP","REC"
1995-10-27,30,"1//47106080",653,FALSE
1995-10-27,37,"1//47107090",653,FALSE
1995-09-12,45,"1//47204060",270,FALSE
1994-11-09,22,"1//472060",361,FALSE
1995-10-27,23,"1//47207090",653,FALSE
1994-11-09,20,"1//472080",361,FALSE
1994-12-14,20,"1//472080",332,FALSE
1995-01-10,21,"1//472080",196,FALSE
1995-02-08,22,"1//472080",116,FALSE
1995-03-02,32,"1//472080",147,FALSE
1995-04-04,30,"1//472080",101,FALSE
1995-05-02,40,"1//472080",78,FALSE
1995-10-27,24,"1//47208090",653,FALSE
1995-09-12,44,"1//47304070",270,FALSE
1995-09-12,45,"1//47305070",270,FALSE
1995-09-12,42,"1//47305070 B",270,FALSE
1995-09-27,36,"1//47305070 B",497,FALSE
1995-09-12,45,"1//47305080",270,FALSE
1995-09-28,43,"1//47305080",497,FALSE
1995-10-27,25,"1//473060100",653,FALSE
1995-09-13,47,"1//47405070",270,FALSE
1995-09-29,41,"1//47405070",497,FALSE
1995-10-27,41,"1//47405080",653,FALSE
1994-11-09,36,"1//474080",361,FALSE
1994-12-13,36,"1//474080",332,FALSE
1995-10-27,25,"1//475060100 B",653,FALSE
1995-10-27,34,"1//47507090",653,FALSE
1995-11-22,27,"1//47507090",542,FALSE
1995-12-19,29,"1//47507090",398,FALSE
1996-01-16,30,"1//47507090",186,FALSE
1994-10-05,17,"1//4760",178,FALSE
1994-10-05,18,"1//4790",178,FALSE
1994-10-05,22,"1//4810",178,FALSE
1994-10-25,25,"1//4810",211,FALSE
1994-11-09,29,"1//4810",361,FALSE
1995-08-02,30,"1//48102090",170,FALSE
1995-09-12,46,"1//48102090",270,FALSE
1995-09-27,42,"1//48102090",497,FALSE
1995-10-27,49,"1//48102090",653,FALSE
1995-11-22,36,"1//48102090",542,FALSE
1995-09-27,58,"1//48103060",497,FALSE
1995-09-12,39,"1//48103080",270,FALSE
1995-09-28,40,"1//48103080",497,FALSE
1995-09-14,42,"1//48104080",270,TRUE
1995-10-27,49,"1//48104080",653,FALSE
1994-10-05,23,"1//4820",178,FALSE
1994-11-02,28,"1//4820",512,FALSE
1994-12-13,36,"1//4820",332,FALSE
1995-01-11,28,"1//4820",196,FALSE
